Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
80,Jimmy Butler\butleji01,SG,29,PHI,28,898,20.4,.578,.209,.349,6.1,9.9,8.0,16.6,2.8,1.2,8.6,23.6,,2.1,1.1,3.2,.172,,2.4,0.1,2.6,1.0
81,Jose Calderon\caldejo01,PG,37,DET,37,539,6.7,.420,.472,.083,1.7,9.3,5.3,24.7,1.5,0.5,21.1,11.2,,-0.2,0.5,0.3,.026,,-4.3,-0.6,-4.8,-0.4
82,Kentavious Caldwell-Pope\caldwke01,SG,25,LAL,47,1120,12.3,.569,.576,.259,2.4,9.1,5.8,6.2,1.7,0.4,6.7,16.6,,1.4,1.1,2.5,.107,,0.3,-0.9,-0.6,0.4
83,Isaiah Canaan\canaais01,PG,27,PHO,19,503,7.5,.515,.558,.155,1.1,10.1,5.5,17.1,1.2,0.0,17.4,14.4,,-0.1,0.1,0.0,-0.002,,-2.4,-2.2,-4.6,-0.3
84,Clint Capela\capelca01,C,24,HOU,42,1436,24.6,.642,.000,.349,15.9,26.0,20.8,7.5,0.9,4.5,10.1,19.5,,5.0,1.5,6.4,.216,,1.7,1.1,2.8,1.7
85,DeMarre Carroll\carrode01,SF,32,BRK,35,864,12.1,.544,.545,.395,4.3,17.9,11.1,6.4,0.7,0.4,9.5,19.2,,0.8,0.6,1.3,.075,,-0.9,-1.8,-2.6,-0.1
86,Jevon Carter\carteje01,PG,23,MEM,13,196,5.4,.375,.617,.050,1.1,7.8,4.4,18.6,2.8,2.0,15.2,16.9,,-0.4,0.2,-0.2,-0.045,,-5.2,0.0,-5.1,-0.2
87,Vince Carter\cartevi01,SF,42,ATL,42,709,11.0,.548,.665,.102,2.9,14.5,8.6,8.5,1.7,1.7,10.5,17.0,,0.3,0.5,0.8,.056,,-1.0,-1.0,-2.0,0.0
88,Wendell Carter\cartewe01,C,19,CHI,44,1110,15.4,.541,.086,.302,8.4,21.8,15.1,11.2,1.1,4.6,13.4,19.4,,0.6,1.2,1.8,.079,,-2.5,2.1,-0.4,0.5
89,Michael Carter-Williams\cartemi01,PG,27,HOU,16,145,12.9,.476,.311,.426,2.3,8.0,5.1,23.3,3.1,3.5,12.1,24.9,,0.0,0.1,0.1,.036,,-3.0,-0.8,-3.8,-0.1
